drift description,tree size,after accuracy decrease precentage,faulty node index,faulty feature,fix accuracy increase precentage
breast-cancer-wisc-diag__NumericFeature[f2;+2std],19,1.7857142857142905,13,f25,0.0
breast-cancer-wisc-diag__NumericFeature[f12;-2std],19,-1.7857142857142905,8,f26,0.8849557522123908
breast-cancer-wisc-diag__NumericFeature[f12;-1std],19,-1.7857142857142905,8,f26,0.8849557522123908
breast-cancer-wisc-diag__NumericFeature[f12;-0.5std],19,0.0,8,f26,0.8849557522123908
breast-cancer-wisc-diag__NumericFeature[f12;+0.5std],19,0.0,8,f26,0.8849557522123908
breast-cancer-wisc-diag__NumericFeature[f12;+1std],19,0.0,8,f26,0.8849557522123908
breast-cancer-wisc-diag__NumericFeature[f12;+2std],19,1.7857142857142905,6,f12,-2.6548672566371723
breast-cancer-wisc-diag__NumericFeature[f26;-2std],19,0.0,8,f26,0.8849557522123908
breast-cancer-wisc-diag__NumericFeature[f26;-1std],19,0.0,8,f26,0.8849557522123908
breast-cancer-wisc-diag__NumericFeature[f26;-0.5std],19,0.0,8,f26,0.8849557522123908
breast-cancer-wisc-diag__NumericFeature[f26;+0.5std],19,0.0,8,f26,0.0
breast-cancer-wisc-diag__NumericFeature[f26;+1std],19,-1.7857142857142905,6,f12,-0.8849557522123908
breast-cancer-wisc-diag__NumericFeature[f26;+2std],19,-3.57142857142857,6,f12,-0.8849557522123908
breast-cancer-wisc-diag__NumericFeature[f7;-2std],19,0.0,8,f26,0.8849557522123908
breast-cancer-wisc-diag__NumericFeature[f7;-1std],19,1.7857142857142905,6,f12,-0.8849557522123908
breast-cancer-wisc-diag__NumericFeature[f7;-0.5std],19,1.7857142857142905,6,f12,-0.8849557522123908
breast-cancer-wisc-diag__NumericFeature[f7;+0.5std],19,1.7857142857142905,6,f12,-0.8849557522123908
breast-cancer-wisc-diag__NumericFeature[f7;+1std],19,1.7857142857142905,6,f12,0.0
breast-cancer-wisc-diag__NumericFeature[f7;+2std],19,1.7857142857142905,6,f12,0.0
breast-cancer-wisc__NumericFeature[f2;-2std],5,0.0,5,,0.0
breast-cancer-wisc__NumericFeature[f2;-1std],5,-1.449275362318836,5,,0.0
breast-cancer-wisc__NumericFeature[f2;-0.5std],5,-1.449275362318836,5,,0.0
breast-cancer-wisc__NumericFeature[f2;+0.5std],5,7.246376811594201,5,,0.7194244604316613
breast-cancer-wisc__NumericFeature[f2;+1std],5,56.52173913043479,0,f2,59.71223021582735
breast-cancer-wisc__NumericFeature[f2;+2std],5,56.52173913043479,0,f2,59.71223021582735
breast-cancer-wisc__NumericFeature[f6;-2std],5,-2.898550724637683,5,,0.0
breast-cancer-wisc__NumericFeature[f6;-1std],5,-5.797101449275366,5,,0.0
breast-cancer-wisc__NumericFeature[f6;-0.5std],5,-5.797101449275366,5,,0.0
breast-cancer-wisc__NumericFeature[f6;+0.5std],5,0.0,5,,-0.7194244604316613
breast-cancer-wisc__NumericFeature[f6;+1std],5,56.52173913043479,1,f6,59.71223021582735
breast-cancer-wisc__NumericFeature[f6;+2std],5,56.52173913043479,1,f6,59.71223021582735
car__NumericFeature[f5;-2std],59,6.976744186046513,6,f2,0.0
car__NumericFeature[f5;-1std],59,4.651162790697672,6,f2,0.0
car__NumericFeature[f5;-0.5std],59,0.0,29,,0.0
car__NumericFeature[f5;+0.5std],59,0.0,29,,0.0
car__NumericFeature[f5;+1std],59,5.813953488372093,25,f5,0.8695652173912993
car__NumericFeature[f5;+2std],59,6.395348837209303,6,f2,0.0
car__NumericFeature[f6;-2std],59,23.83720930232558,2,f6,16.231884057971012
car__NumericFeature[f6;-1std],59,16.860465116279066,4,f1,0.0
car__NumericFeature[f6;-0.5std],59,0.0,29,,0.0
car__NumericFeature[f6;+0.5std],59,0.0,29,,0.0
car__NumericFeature[f6;+1std],59,19.186046511627907,2,f6,14.782608695652177
car__NumericFeature[f6;+2std],59,22.67441860465116,2,f6,19.42028985507247
